text kotor,likeCount,Teks_Bersih,Yes,No,Compound,Sentiment
"@Aryprasetyo85 @Metro_TV @ganjarpranowo @dewanpers @03__nakula @adearmando61 @al_lasan @Anak__Ogi @B3doel___ @bung_madin @GunRomli @ch_chotimah2 @DS_yantie @denni_sauya Dajjal memang penipu ??
Kaki tangan dajjal itu kadrun",1,tv nakula lasan ogi madin chotimah yantie sauya dajjal memang penipu kaki tangan dajjal itu kadrun,0.0,0.0,0.0,Yes
"... Koruptor di bela oleh KADRUN tumben biasanya dibully ?????? ... 

.
.
.
pastilah cecunguk ini jelas lagi bela donatur nya ??????",4,koruptor di bela oleh kadrun tumben biasanya dibully pastilah cecunguk ini jelas lagi bela donatur nya,0.0,0.0,0.0,Yes
@NyaiiBubu Org utan ke kota,0,org utan ke kota,0.0,0.0,0.0,Yes
"Bangsa Indonesia sangat bersyukur memiliki KH. Imaduddin Utsman al-Bantanie, Sang Pencerah dan Pemersatu Bangsa Indonesia..!",0,bangsa indonesia sangat bersyukur memiliki kh imaduddin utsman al bantanie sang pencerah dan pemersatu bangsa indonesia,0.0,0.0,0.0,Yes
@HidayatNatari Kadrun pd mengkhayal.. ntr klu kalah bilangnya di curangi. Lagu lama Drun.. ??????,0,kadrun pd mengkhayal ntr klu kalah bilangnya di curangi lagu lama drun,0.0,0.0,0.0,Yes
@TurnBack2Solo @Amran_bin_Ali @jagokan57083101 @KompasTV wkwkwk kadrun ngomongin nyali ??,0,bin ali wkwkwk kadrun ngomongin nyali,0.0,0.0,0.0,Yes
"@dwi_kurniawanSg @iwandana1 @ganjarpranowo @Dennysiregar7 Org jni gak bisa mikir bedanya mamerin buku sama ngucapin selamat hari buku,, nemang bner smua org klo jd kadrun harus bener"" goblog",0,kurniawansg org jni gak bisa mikir bedanya mamerin buku sama ngucapin selamat hari buku nemang bner smua org klo jd kadrun harus bener goblog,0.0,0.0,0.0,Yes
@CocotBoros98 @TurnBack2Solo @Amran_bin_Ali @person_sandora @ejanghadian @Kadrun80574809 @PaimoMontok @kadrunmampos @Jkt_Networks3 @AgoesMaulana10 @NawariErika @KangManto123 @ghost65387006 @_25selawe @Fita_Shanty @SimbokeSarah @bobby_risakotta @TsamaraDKI,0,bin ali sandora networks selawe shanty risakotta id klo ini foto nya kadrun betina yg lagi jaga warung klontongnya wkwkwk,0.0,0.0,0.0,Yes
@wandystjk2 Tp alahkah elegant nya kl gk kait kaitkan dengan kadrun ya,0,tp alahkah elegant nya kl gk kait kaitkan dengan kadrun ya,0.0,0.0,0.4767,Yes
"@Amran_bin_Ali @TurnBack2Solo @jagokan57083101 @KompasTV siap2 bang di blok sama kadrun transgender itu, tipikal kadrun klo kalah selalu ngeles atau blokir, contohnya tadi si @jagokan57083101 sdh terpojok lsg ngeles ajak rekan sesama kadrunnya unt kabur, ",1,bin ali siap bang di blok sama kadrun transgender itu tipikal kadrun klo kalah selalu ngeles atau blokir contohnya tadi si sdh terpojok lsg ngeles ajak rekan sesama kadrunnya unt kabur tapi giliran dia dpt bahan unt menghina ganjar muncul lagi dia wkwkwk,0.0,0.0,0.0,Yes
"@Adi_8002 Betul banget.
Kirain akun kadrun, ternyata akun NKRI pendukung militan salah satu Paslon.

Hoaxnya melebihi kadrun.
Bisa dipidana itu, memutar balik sejarah",1,betul banget kirain akun kadrun ternyata akun nkri pendukung militan salah satu paslon hoaxnya melebihi kadrun bisa dipidana itu memutar balik sejarah,0.0,0.0,0.0,Yes
"@AntiPekines @ganjarpranowo ??biasa min! Ibarat kata udah dicoblangi sama cwek Bahenol Bohai!
istri sah jangankan di urus, dilirik aja ga bakal! Yg ngejodohin ga da otak! Udh tau org msih ada bini, masih aja dicoblangin!
Dia kira kadrun, yg boleh2 aja ber",0,biasa min ibarat kata udah dicoblangi sama cwek bahenol bohai istri sah jangankan di urus dilirik aja ga bakal yg ngejodohin ga da otak udh tau org msih ada bini masih aja dicoblangin dia kira kadrun yg boleh aja berpoligami,0.0,0.0,0.0,Yes
@MayaA62580468 Si bewok gede bacooooot,0,si bewok gede bacooooot,0.0,0.0,0.0,Yes
"@ajies4ra Mulai kesetanan nih hoaxnya.
Gw pikir tadi akun kadrun, ternyata NKRI.

Lbh parah dari kadrun hoaxnya",2,mulai kesetanan nih hoaxnya gw pikir tadi akun kadrun ternyata nkri lbh parah dari kadrun hoaxnya,0.0,0.0,0.0,Yes
"@Amran_bin_Ali @TurnBack2Solo @jagokan57083101 @KompasTV dua ekor kadrun ygnsatu betina @jagokan57083101 dan yg satu kadrun transgender @TurnBack2Solo lari terkaing2 bang, si transgender kehabisan kata2, klo yg betina mulutnya lagi sibuk melayani pelangga",1,bin ali dua ekor kadrun ygnsatu betina dan yg satu kadrun transgender lari terkaing bang si transgender kehabisan kata klo yg betina mulutnya lagi sibuk melayani pelanggan,0.0,0.0,0.0,Yes
@geloraco Pola pikir kadrun itu sangat rumit,0,pola pikir kadrun itu sangat rumit,0.0,0.0,0.0,Yes
@kadrun_bangsatt Menambah Nafsu Merokok ?,1,bangsatt menambah nafsu merokok,0.0,0.0,0.0,Yes
@ch_chotimah2 Kadrun itu iblis berbulu domba namanya ??,0,chotimah kadrun itu iblis berbulu domba namanya,0.0,0.0,0.0,Yes
@dennyindrayana  taraaaaaaaa,0,taraaaaaaaa,0.0,0.0,0.0,Yes
@Verraagustian_ @kadrun_bangsatt ??????,2,bangsatt,0.0,0.0,0.0,Yes
"@AkioDad @IpBayoe @dannieliciouss @tvOneNews Nah ini
Nimbrung tapi bego
Ga baca dr awal tiba2 bunyi
Kebiasaan kadrun ????

Uda2
Yg kek lu uda banyak dr kmrn2
Fokus aja noh ke SP ama Anies yg lg belain koruptor ????????",0,nah ini nimbrung tapi bego ga baca dr awal tiba bunyi kebiasaan kadrun uda yg kek lu uda banyak dr kmrn fokus aja noh ke sp ama anies yg lg belain koruptor,0.043,0.0,-0.1027,Yes
@IInayaturahmah @kadrun_bangsatt ??????,1,bangsatt,0.0,0.0,0.0,Yes
@OposisiCerdas mulai-mulai... bawa2 nasab agama berarti ganjar kadrun dong... malu jelek jelekin arab ngaku2 keturunan arab..,0,mulai mulai bawa nasab agama berarti ganjar kadrun dong malu jelek jelekin arab ngaku keturunan arab,0.0,0.0,0.0,Yes
@geloraco Caplin Caplin... Berulah lagi.. geni nih klo kadrun lepas dri kandang,0,caplin caplin berulah lagi geni nih klo kadrun lepas dri kandang,0.0,0.0,0.0,Yes
@kadrun_bangsatt Apakah enih d sebut kelapa berjalan ??????,2,bangsatt apakah enih d sebut kelapa berjalan,0.0,0.0,0.0,Yes
@OposisiCerdas Orang jawa di kadrun kadrun kan ??????????,0,orang jawa di kadrun kadrun kan,0.0,0.0,0.0,Yes
"@TurnBack2Solo @jagokan57083101 @KompasTV coba tny sama lonte kadrun profesional ini, cara mengangkang yg baik dan benar ?? https://t.co/N7aOdbKqWA",0,coba tny sama lonte kadrun profesional ini cara mengangkang yg baik dan benar,0.0,0.0,0.0,Yes
"@RomeoWalker19 Hanya SETAN
yang Membenci Kebaikan !",0,hanya setan yang membenci kebaikan,0.0,0.0,0.0,Yes
@ruhutsitompul Partai maling ..capres nya goblok...dari kadrun..goblok lu,0,partai maling capres nya goblok dari kadrun goblok lu,0.0,0.0,0.0,Yes
"@TurnBack2Solo @jagokan57083101 @KompasTV alhamdulillah drun, mayan kena toketnya kadrun betina ?? https://t.co/rRKK8eD3wl",0,alhamdulillah drun mayan kena toketnya kadrun betina,0.0,0.0,0.0,Yes
"Demikian Hal'nya
dengan NasDrun
'Kadernya yang Korupsi
Yang Salah tetap Jokowi
'Kan Bangsat !!!

Sudah Takdir TUHAN
Setan Setan itu
Membenci Kebaikan 

Naudzubillahi Mindzallik https://t.co/AwRtdtOJzm",0,demikian hal nya dengan nasdrun kadernya yang korupsi yang salah tetap jokowi kan bangsat sudah takdir tuhan setan setan itu membenci kebaikan naudzubillahi mindzallik,0.0,0.0,0.0,Yes
"@ekowboy2 Sdh tau anis bakal kalah, kadrun rame2 buat narasi penjegalan...gitu saja mainnya dr dulu smp lebaran kuda tiba....
Silahkan rakyat menilai !!
??????",0,sdh tau anis bakal kalah kadrun rame buat narasi penjegalan gitu saja mainnya dr dulu smp lebaran kuda tiba silahkan rakyat menilai,0.0,0.0,0.0,Yes
@alisyarief Otak mana otak,0,otak mana otak,0.0,0.0,0.0,Yes
@Relawananies ????????...... Kadrun doank yg percaya,1,kadrun doank yg percaya,0.0,0.0,0.0,Yes
@msaid_didu Udah ashar pak tua.. tobat,0,didu udah ashar pak tua tobat,0.0,0.0,0.0,Yes
@Sampeong2 @ch_chotimah2 @ganjarpranowo https://t.co/6h7pgfvFzP,0,chotimah,0.0,0.0,0.0,Yes
@ch_chotimah2 @ganjarpranowo Nih pake doorprice juga nggak ..?,0,chotimah nih pake doorprice juga nggak,0.0,0.0,0.0,Yes
"@sunset_32023 Masih Ada Orang Orang Baik
di NKRI , bila tidak Menemukan
Maka Berusahalah Menjadi
Salah Satunya

Sesungguhnya
Di Setiap Kebaikan
Ada Balasan
Tanpa Mengharap
atau Meminta Sekalipun 

#BelajarMenjadiLebihBaik
#NKRIbersatu",0,masih ada orang orang baik di nkri bila tidak menemukan maka berusahalah menjadi salah satunya sesungguhnya di setiap kebaikan ada balasan tanpa mengharap atau meminta sekalipun belajarmenjadilebihbaik nkribersatu,0.0,0.0,0.0,Yes
@KangNanooo @Verraagustian_ Kadrun emang gitu..beriman takut akherat dan paling suci beragama tapi munafik..gimana coba..??????,0,kadrun emang gitu beriman takut akherat dan paling suci beragama tapi munafik gimana coba,0.0,0.0,0.0,Yes
"@KompasTV Jgn samakan black campaign dgn negative campaign ya.. jgn serampangan anda @aniesbaswedan  mayoritas yg tersebar adalah bukti nyata,bukan fitnah ..tolong bedakan itu..jgn menggiring opini publik utk membuat seolah2 anda terdhzolimi",6,jgn samakan black campaign dgn negative campaign ya jgn serampangan anda mayoritas yg tersebar adalah bukti nyata bukan fitnah tolong bedakan itu jgn menggiring opini publik utk membuat seolah anda terdhzolimi,0.11,0.0,-0.5719,Yes
Yang haram akan jd halal bila org kadrun.,0,yang haram akan jd halal bila org kadrun,0.0,0.0,0.0,Yes
"@lahedom99 Cie cebong babi ngambek ???????? gak cium tangan Kadrun dulu loe?
Gak sopan loe, junjungan loe aja hormat sama kadrun",0,cie cebong babi ngambek gak cium tangan kadrun dulu loe gak sopan loe junjungan loe aja hormat sama kadrun,0.0,0.0,0.0,Yes
@sgits1 Laaah emang dia itu kadrun..kadrun sejati,0,laaah emang dia itu kadrun kadrun sejati,0.0,0.0,0.0,Yes
@kadrun_bangsatt https://t.co/McyQX0K7cw,1,bangsatt,0.0,0.0,0.0,Yes
"@TurnBack2Solo @jagokan57083101 @KompasTV lsg di like sama kadrun wkwkwk tapi lsg dihapus lagi, ah kadrun gak seru ah ??",0,lsg di like sama kadrun wkwkwk tapi lsg dihapus lagi ah kadrun gak seru ah,0.0,0.0,0.3612,Yes
"@setopankahiji @logikapolitikid @ridwankamil @aniesbaswedan Aing ti sunda asli, tpi aing lain kadrun. Jgn bawa2 suku",0,aing ti sunda asli tpi aing lain kadrun jgn bawa suku,0.0,0.0,0.0,Yes
@lahedom99 Kadrun tapi didatengin kan sama junjungan loe? ?????????? Cium tangan lagi,0,kadrun tapi didatengin kan sama junjungan loe cium tangan lagi,0.0,0.0,0.0,Yes
"@TurnBack2Solo @jagokan57083101 @KompasTV lonte kadrun betina @jagokan57083101 sdh siap tuh, jilbabnya sdg dibuka, siap melayani pelanggan di warungnya, alhamdulillah drun wkwkwk https://t.co/ASUJJYOtpP",0,lonte kadrun betina sdh siap tuh jilbabnya sdg dibuka siap melayani pelanggan di warungnya alhamdulillah drun wkwkwk,0.0,0.0,0.0,Yes
"@NichNach8 Oh iya mksdnya, sorry kopinya habis..??",1,oh iya mksdnya sorry kopinya habis,0.206,0.0,-0.0772,Yes
"@YanHarahap Karna kau hanya Bc judul,Malas bc isi.
Kau cb bodohi org dgn judul brita
(khas Kadrun??)

-Jln Toll jauh lbh banyak,karna itu mpercepat distribusi/Roda prkonomian,jln biasa sdikit ber+,karna Jln Toll sdh banyak ber+
-Dan Hutang negara ber+ bkn",3,karna kau hanya bc judul malas bc isi kau cb bodohi org dgn judul brita khas kadrun jln toll jauh lbh banyak karna itu mpercepat distribusi roda prkonomian jln biasa sdikit ber karna jln toll sdh banyak ber dan hutang negara ber bkn hanya utk toll tp jg hadapi covid,0.0,0.0,0.0,Yes
@Obay_Kusut1981 Wkwkwkwkw..dasar KADRUN..lo pantesan yh..bidoh. Gk pinter2..hobi nya makan HOAX ...info nya..,0,kusut wkwkwkwkw dasar kadrun lo pantesan yh bidoh gk pinter hobi nya makan hoax info nya,0.123,0.0,-0.2732,Yes
@raniia_niia @OposisiCerdas Kalian yang tuduh ya harus kalian juga yang buktikan tuduhan kalian itu,0,niia kalian yang tuduh ya harus kalian juga yang buktikan tuduhan kalian itu,0.0,0.0,0.0,Yes
@NichNach8 Koh iya...?????? ??,1,koh iya,0.0,0.0,0.0,Yes
@MuflyAhmad2 @OposisiCerdas Tolong pak @DivHumas_Polri tindak orang ini karena sudah memfitnah kepala negara.,0,tolong pak polri tindak orang ini karena sudah memfitnah kepala negara,0.0,0.0,0.0,Yes
@Joy45158415 @aniesbaswedan @PKSejahtera Sssttt... Itu bukan kulkas Ferguso.. itu pohon mahoni??,0,sssttt itu bukan kulkas ferguso itu pohon mahoni,0.0,0.0,0.0,Yes
"Sekjen Nasdem yg juga Menkominfo terciduk tipikor beserta kroninya senilai 8T. Dan kubunya sibuk tereaký politisasi terkait pencapresan Anis?

Gak malu? Mungkin baiknya kalian berefleksi bhw pencapresan ini gak direstui langit.
Ada aja kan kasusnya?
????
#SalamRestorasiIndonesia https://t.co/kYri4lIAvo",0,sekjen nasdem yg juga menkominfo terciduk tipikor beserta kroninya senilai t dan kubunya sibuk tereak politisasi terkait pencapresan anis gak malu mungkin baiknya kalian berefleksi bhw pencapresan ini gak direstui langit ada aja kan kasusnya salamrestorasiindonesia,0.0,0.0,0.0,Yes
@bobbynasution_ Trus gubenurnya ngapain bang Bobby..?,0,trus gubenurnya ngapain bang bobby,0.0,0.0,0.0,Yes
"@NichNach8 Janganlah kang, ntar gak bisa nonton lawak gak ada yg diketawain..??",1,janganlah kang ntar gak bisa nonton lawak gak ada yg diketawain,0.0,0.0,0.0,Yes
"@belaIndonesiaID @OposisiCerdas Eh goblok loe pikir KPU dan Bawaslu itu segoblok loe. Pada saat pendaftaran Bupati/Walikota, Gubernur, apalagi Capres pasti semua berkasnya diverikasi atau dicek keasliannya. Kalian ini ya selalu mencari sensasi dan mencari",0,eh goblok loe pikir kpu dan bawaslu itu segoblok loe pada saat pendaftaran bupati walikota gubernur apalagi capres pasti semua berkasnya diverikasi atau dicek keasliannya kalian ini ya selalu mencari sensasi dan mencari kesalahan orang,0.0,0.0,0.0,Yes
@licikperjuangan @Relawananies Emng bner rezim skrng bnyk smph negara yg hrusnya dpet azab..  Sok bnar sok suci dan tolol kya kadrun..,0,emng bner rezim skrng bnyk smph negara yg hrusnya dpet azab sok bnar sok suci dan tolol kya kadrun,0.0,0.0,0.5574,Yes
"@TurnBack2Solo @jagokan57083101 @KompasTV tuh udh dandan, udah buka jilbabnya, udah siap kayaknya si lonte kadrun @jagokan57083101 https://t.co/kkn980JqvR",0,tuh udh dandan udah buka jilbabnya udah siap kayaknya si lonte kadrun,0.0,0.0,0.0,Yes
"Ga goyang sih, cuma gemeter..",2,ga goyang sih cuma gemeter,0.0,0.0,0.0,Yes
@Musti_Umbar Kita Doa'in Matinya Sahid,0,umbar kita doa in matinya sahid,0.398,0.0,-0.5106,Yes
@Reiza_Patters @ganjarpranowo Sudah start awal kampanye nya loe semua diam aja. Tapi meskipun start awal tapi tetap di urutan terakhir elektabilitas nya. Berpikir positif saja pak. Jangan suka urusi urusan orang lain yang bukan urusanmu,0,patters sudah start awal kampanye nya loe semua diam aja tapi meskipun start awal tapi tetap di urutan terakhir elektabilitas nya berpikir positif saja pak jangan suka urusi urusan orang lain yang bukan urusanmu,0.0,0.0,0.0,Yes
"@tvOneNews Kadrun sumbu pendek siapken donaturr jualan, kapir pki lgbt ayat mayat nahimungkar  drunnn ?? ?? ??",0,kadrun sumbu pendek siapken donaturr jualan kapir pki lgbt ayat mayat nahimungkar drunnn,0.0,0.0,0.0,Yes
"@Reiza_Patters @ganjarpranowo Pak, anda tahukah otonomi daerah ? Anda sudah tahu itu desa tapi kenapa langsung ke provinsi mengadu ? Kan masih ada kepala daerah Bupati/Walikota. Kalau itu jalan provinsi baru mengadu ke provinsi. Anda terlalu sibuk mencari",0,patters pak anda tahukah otonomi daerah anda sudah tahu itu desa tapi kenapa langsung ke provinsi mengadu kan masih ada kepala daerah bupati walikota kalau itu jalan provinsi baru mengadu ke provinsi anda terlalu sibuk mencari kesalahan pak ganjar itu anies,0.0,0.0,0.0,Yes
@YoshY83919872 Hooh,0,hooh,0.0,0.0,0.0,Yes
@PartBurungGalak @KakekHalal Media gelora news selalu kadrun isinya. Memang media kadrun.,0,media gelora news selalu kadrun isinya memang media kadrun,0.0,0.0,0.0,Yes
"Drama Picisan episode dor..dor..!
??Tracking lini masa dan CCTV RS.RST Dompet Dhuafa cukup untuk menyematkan pasal 242 (x)??(2) 7th bui bagi Sang Aktor.
Sekalian senggol Si Sutradara..! https://t.co/tiU6lexdfu",5,drama picisan episode dor dor tracking lini masa dan cctv rs rst dompet dhuafa cukup untuk menyematkan pasal x th bui bagi sang aktor sekalian senggol si sutradara,0.0,0.0,0.0,Yes
"@lahedom99 Cieee... Gak pake media apa malu ketauan bloon... Hebat ya Kadrun, junjungan loe si raja bokep aja cium tangan Ama Kadrun...loe gak mau cium kaki gw",1,cieee gak pake media apa malu ketauan bloon hebat ya kadrun junjungan loe si raja bokep aja cium tangan ama kadrun loe gak mau cium kaki gw,0.0,0.0,0.0,Yes
"@ganjarpranowo 5 Alasan Anies Yohanes Rasyid BaswEDAN tidak mungkin jadi presiden...
1...Kadrun imigran yaman.
2...tidak punya rasa nasionalime.
3...cuma pintar ngomong Pemberi Harapan Palsu.
4...didukung oleh kaum radikal pengusung khilafah intoleran.
5.",0,alasan anies yohanes rasyid baswedan tidak mungkin jadi presiden kadrun imigran yaman tidak punya rasa nasionalime cuma pintar ngomong pemberi harapan palsu didukung oleh kaum radikal pengusung khilafah intoleran non pribumi,0.0,0.0,0.0,Yes
"@Obay_Kusut1981 Gk usah baca media lawan KADRUN mh percuma...info hoax basi..d geluti..giliran koruptor pada d bela.,!!",0,kusut gk usah baca media lawan kadrun mh percuma info hoax basi d geluti giliran koruptor pada d bela,0.116,0.0,-0.2732,Yes
"Setuju...

Untuk John the Kadrun memang Ahok sosok berbahaya.... soalnya gak bisa seenaknya atur ini-itu lagi.... https://t.co/hnb1rnEolW",1,setuju untuk john the kadrun memang ahok sosok berbahaya soalnya gak bisa seenaknya atur ini itu lagi,0.0,0.0,0.0,Yes
"@wandystjk2 Untung wasit nya kadrun dari negeri oman, buat para pemuja pki yg nyamar jd kadrun2 spy terpilih jd anggota dewan, ayo jancuk2 tetap smangat mumpung 1 thn lagi nikmati masa2 indah rezim kardus digembok hajar tuh media malaysia yg melecehkan ka",0,untung wasit nya kadrun dari negeri oman buat para pemuja pki yg nyamar jd kadrun spy terpilih jd anggota dewan ayo jancuk tetap smangat mumpung thn lagi nikmati masa indah rezim kardus digembok hajar tuh media malaysia yg melecehkan kalian para kadrun gadungan,0.0,0.0,0.0,Yes
"@msaid_didu @ReflyHZ Ya percaya aja , follower @ReflyHZ  kan kadrun semua..berarti ada 11% Kadrun yg membelot menyatakan puas..",0,didu ya percaya aja follower kan kadrun semua berarti ada kadrun yg membelot menyatakan puas,0.0,0.0,0.0,Yes
@DjuremiReinke @Muhamma87797214 @aniesbaswedan @feryfarhati bacot lu...itu kan menurutmu kadrun??????,0,bacot lu itu kan menurutmu kadrun,0.0,0.0,0.0,Yes
"@WagimanDeep212_ Wkwkwkwk kadrun lenyap.... 
Takut dia https://t.co/7s8YvxM1xZ",1,wkwkwkwk kadrun lenyap takut dia,0.0,0.0,0.0,Yes
@MuungilCom @setopankahiji @logikapolitikid @ridwankamil @aniesbaswedan Bener sekali bnyk sunda kadrun kerjaan hari2 sama kek ibu entit benci sama jokowi ?? apa lg pemilu wkt itu bandung heboh ngehate jokowi smpe teriak2 diluar loh??,0,bener sekali bnyk sunda kadrun kerjaan hari sama kek ibu entit benci sama jokowi apa lg pemilu wkt itu bandung heboh ngehate jokowi smpe teriak diluar loh,0.0,0.0,0.0,Yes
"@jagokan57083101 @TurnBack2Solo @KompasTV wkwkwk lonte kadrun betina masih penasaran ternyata, tadi udh mentok, nyerah, giliran ada bahan lsg muncul lagi, tapi nanti klo mentok bilang udah udah gak usah ditanggepin lagi wkwkwk mending antum dandan dan seg",0,wkwkwk lonte kadrun betina masih penasaran ternyata tadi udh mentok nyerah giliran ada bahan lsg muncul lagi tapi nanti klo mentok bilang udah udah gak usah ditanggepin lagi wkwkwk mending antum dandan dan segera bertugas malam ini drun pelanggan sdh antri tuh,0.0,0.0,0.0,Yes
@DPablo29136515 @Naz_lira Tipikal kadrun kl gak koplak ya bahlul.,0,lira tipikal kadrun kl gak koplak ya bahlul,0.0,0.0,0.0,Yes
"@Maudy_Kadrun Waduhhh
Jueruu iki",1,kadrun waduhhh jueruu iki,0.0,0.0,0.0,Yes
@bachrum_achmadi JK siapa? Juragan Kadrun?,0,achmadi jk siapa juragan kadrun,0.0,0.0,0.2263,Yes
@Khalisa30712811 @Relawananies Mayoritas Kadrun goblok akibat minum air kencing Onta....?,0,mayoritas kadrun goblok akibat minum air kencing onta,0.0,0.0,0.0,Yes
"@ekowboy2 Kalo Pks menggoda Golkar &amp; Gerindra boleh ya?
(halal)

Kalo Demokrat Digoda PKB ga boleh ya..
(haram )

Kalo 2 kali Sekjend nya ditangkap itu mengganggu Nasdem ya..?

Kalo ga bs berhenti,kurangilah Hoax mu biar Kadrun pintar dikit ??????????",1,kalo pks menggoda golkar amp gerindra boleh ya halal kalo demokrat digoda pkb ga boleh ya haram kalo kali sekjend nya ditangkap itu mengganggu nasdem ya kalo ga bs berhenti kurangilah hoax mu biar kadrun pintar dikit,0.055,0.0,-0.2732,Yes
"@Army03437330 @PSI_Jakarta @psi_id kadrun lsg ambyar, amsiong, sakit hati akut dari 2012 sampai skrg, bisa2 kena sirosis drun, kanker hati ??",0,jakarta id kadrun lsg ambyar amsiong sakit hati akut dari sampai skrg bisa kena sirosis drun kanker hati,0.0,0.0,0.0,Yes
@ch_chotimah2 KADRUN &gt;&gt; BINATANG,0,chotimah kadrun gt gt binatang,0.0,0.0,0.4939,Yes
"@Tan_Mar3M Lu minta 1, gw kasih 4. Tidak sulit mencari jalan2 baru non berbayar yg dibangun Jokowi. Yang susah itu mencari jalan baru yg diklaim para kadrun dibangun SBY yg katanya lebih panjang, tp ggk ada wujud nya ?? https://t.co/MnwfsHZEgi",8,marm lu minta gw kasih tidak sulit mencari jalan baru non berbayar yg dibangun jokowi yang susah itu mencari jalan baru yg diklaim para kadrun dibangun sby yg katanya lebih panjang tp ggk ada wujud nya,0.0,0.0,0.0,Yes
"@kompascom KADRUN MANA SUARAMU?? YG BIASA NYINYIRIN KORUPTOR??..HEDAN..KADERNYA KORUPSI KOK.MALAH SALAHIN PRESIDEN JOKOWI.
#BUBARKANNASDEM",0,kadrun mana suaramu yg biasa nyinyirin koruptor hedan kadernya korupsi kok malah salahin presiden jokowi bubarkannasdem,0.0,0.0,0.0,Yes
@YoshY83919872 @ListyoSigitP @DivHumas_Polri @dennysirregar7 KADRUN sudah Kehabisan AKAL.. PANIK.. TEGANG.. KLOJOTAN..,0,polri kadrun sudah kehabisan akal panik tegang klojotan,0.0,0.0,0.0,Yes
@msaid_didu @ReflyHZ hasil votting di kandang KADRUN.,0,didu hasil votting di kandang kadrun,0.0,0.0,0.0,Yes
@Affan79992133 Itu tanda nya kadrun tdk setuju dgn pendapat sampeyan Gus...,1,itu tanda nya kadrun tdk setuju dgn pendapat sampeyan gus,0.0,0.0,0.0,Yes
@NyiMasRuminah @DivHumas_Polri @KEMENAG @YaqutCQoumas @jokowi Tutup Al zaytun,0,polri tutup al zaytun,0.0,0.0,0.0,Yes
@_Goentoer_ @MUIPusat @MajelisUlamaID kadrun di gaji uang Rakyat ..malah kawin nek puncak @NasDem,1,goentoer kadrun di gaji uang rakyat malah kawin nek puncak,0.0,0.0,0.0,Yes
@kadrun_bangsatt Pas banget. ??,1,bangsatt pas banget,0.0,0.0,0.0,Yes
@geloraco Hanya tuk yg waras?????????? https://t.co/Rz3uaEGbrD,0,hanya tuk yg waras,0.0,0.0,0.0,Yes
@HelmiFelis_ Satu orang pekok mengungkapkan kedengkian dengan argumen yg playing victim ala kadrun,0,satu orang pekok mengungkapkan kedengkian dengan argumen yg playing victim ala kadrun,0.151,0.129,-0.0772,Yes
"@riyutoooo @enengcantika @Miduk17 lu di rumah kagak punya kaca yg gede apa? klo sama wan anus disebut rasis, klo sama ahok gpp? 

kadrun tolol2 emang https://t.co/3NTdeADcrl",0,lu di rumah kagak punya kaca yg gede apa klo sama wan anus disebut rasis klo sama ahok gpp kadrun tolol emang,0.0,0.0,0.0,Yes
@Dennysiregar7 klo sdh gabung sama kadrun memang auto goblok bang,0,klo sdh gabung sama kadrun memang auto goblok bang,0.0,0.0,0.0,Yes
@hc_poirot Oh ternyata SBY tinggal di gunung toh,0,poirot oh ternyata sby tinggal di gunung toh,0.0,0.0,0.0,Yes
@msaid_didu @ReflyHZ Polling nya paling yg ngisi para  kadrun....cebong ngga minat wajar aja sih,0,didu polling nya paling yg ngisi para kadrun cebong ngga minat wajar aja sih,0.0,0.0,0.0,Yes
"@yunartowijaya namanya juga kadrun, bukan kadrun klo gak goblok mas",0,namanya juga kadrun bukan kadrun klo gak goblok mas,0.0,0.0,0.0,Yes
@ch_chotimah2 @NataliusPigai2 Kadrun ngamuk ??????,0,chotimah kadrun ngamuk,0.0,0.0,0.0,Yes
@arnoldy1230 @IMCMushroom iya benar. Jangan sekali kali ikut Kadrun. Orangnya tolol tolol semua. Keringatnya bauk bauk.,0,iya benar jangan sekali kali ikut kadrun orangnya tolol tolol semua keringatnya bauk bauk,0.0,0.0,0.0,Yes
@BBerizik kadrun dgn smua kedunguannya anti cermin.,1,kadrun dgn smua kedunguannya anti cermin,0.315,0.0,-0.3182,Yes
@PresidenKopi Kadrun cuma baca judul korupsi nya 2020 kerjasama dengan bukit algoritma 2021 https://t.co/SZCSWRIqag,0,kadrun cuma baca judul korupsi nya kerjasama dengan bukit algoritma,0.0,0.0,0.0,Yes
@arnoldy1230 @IMCMushroom Aku setudju. Kadrun jangan makin bodoh. Kudu bertobat.,0,aku setudju kadrun jangan makin bodoh kudu bertobat,0.0,0.0,0.0,Yes
@yusuf_dumdum https://t.co/HPv82L3g0D,0,dumdum,0.0,0.0,0.0,Yes
"@UbedilahB Halah bacot aja lu. Kadrun!

Eh Badrun!",0,halah bacot aja lu kadrun eh badrun,0.0,0.0,0.0,Yes
"@Heraloebss Jln masuk k rujab gub mulus,,giliran jln utk rakyat mlh nggak diperhatikan,,gub kadrun kerjaan cm bs abisin anggaran",0,jln masuk k rujab gub mulus giliran jln utk rakyat mlh nggak diperhatikan gub kadrun kerjaan cm bs abisin anggaran,0.0,0.0,0.0,Yes
@IMCMushroom Hore. Aku suka Jokowi. Aku tidak suka kadrun. Benci sekali kadrun2. Keringatnya bauk. Bauk banget.,0,hore aku suka jokowi aku tidak suka kadrun benci sekali kadrun keringatnya bauk bauk banget,0.0,0.0,0.0,Yes
