id,text kotor,Sentiment
192,@MuungilCom @setopankahiji @logikapolitikid @ridwankamil @aniesbaswedan Bener sekali bnyk sunda kadrun kerjaan hari2 sama kek ibu entit benci sama jokowi ?? apa lg pemilu wkt itu bandung heboh ngehate jokowi smpe teriak2 diluar loh??,Yes
193,"@jagokan57083101 @TurnBack2Solo @KompasTV wkwkwk lonte kadrun betina masih penasaran ternyata, tadi udh mentok, nyerah, giliran ada bahan lsg muncul lagi, tapi nanti klo mentok bilang udah udah gak usah ditanggepin lagi wkwkwk mending antum dandan dan seg",Yes
194,@DPablo29136515 @Naz_lira Tipikal kadrun kl gak koplak ya bahlul.,Yes
195,"@Maudy_Kadrun Waduhhh
Jueruu iki",Yes
196,@bachrum_achmadi JK siapa? Juragan Kadrun?,Yes
197,@Khalisa30712811 @Relawananies Mayoritas Kadrun goblok akibat minum air kencing Onta....?,Yes
198,"@ekowboy2 Kalo Pks menggoda Golkar &amp; Gerindra boleh ya?
(halal)

Kalo Demokrat Digoda PKB ga boleh ya..
(haram )

Kalo 2 kali Sekjend nya ditangkap itu mengganggu Nasdem ya..?

Kalo ga bs berhenti,kurangilah Hoax mu biar Kadrun pintar dikit ??????????",Yes
199,"@Army03437330 @PSI_Jakarta @psi_id kadrun lsg ambyar, amsiong, sakit hati akut dari 2012 sampai skrg, bisa2 kena sirosis drun, kanker hati ??",Yes
200,@ch_chotimah2 KADRUN &gt;&gt; BINATANG,Yes
201,"@Tan_Mar3M Lu minta 1, gw kasih 4. Tidak sulit mencari jalan2 baru non berbayar yg dibangun Jokowi. Yang susah itu mencari jalan baru yg diklaim para kadrun dibangun SBY yg katanya lebih panjang, tp ggk ada wujud nya ?? https://t.co/MnwfsHZEgi",Yes
202,"@kompascom KADRUN MANA SUARAMU?? YG BIASA NYINYIRIN KORUPTOR??..HEDAN..KADERNYA KORUPSI KOK.MALAH SALAHIN PRESIDEN JOKOWI.
#BUBARKANNASDEM",Yes
203,@YoshY83919872 @ListyoSigitP @DivHumas_Polri @dennysirregar7 KADRUN sudah Kehabisan AKAL.. PANIK.. TEGANG.. KLOJOTAN..,Yes
204,@msaid_didu @ReflyHZ hasil votting di kandang KADRUN.,Yes
205,@Affan79992133 Itu tanda nya kadrun tdk setuju dgn pendapat sampeyan Gus...,Yes
206,@NyiMasRuminah @DivHumas_Polri @KEMENAG @YaqutCQoumas @jokowi Tutup Al zaytun,Yes
207,@_Goentoer_ @MUIPusat @MajelisUlamaID kadrun di gaji uang Rakyat ..malah kawin nek puncak @NasDem,Yes
208,@kadrun_bangsatt Pas banget. ??,Yes
209,@geloraco Hanya tuk yg waras?????????? https://t.co/Rz3uaEGbrD,Yes
210,@HelmiFelis_ Satu orang pekok mengungkapkan kedengkian dengan argumen yg playing victim ala kadrun,Yes
211,"@riyutoooo @enengcantika @Miduk17 lu di rumah kagak punya kaca yg gede apa? klo sama wan anus disebut rasis, klo sama ahok gpp? 

kadrun tolol2 emang https://t.co/3NTdeADcrl",Yes
212,@Dennysiregar7 klo sdh gabung sama kadrun memang auto goblok bang,Yes
213,@hc_poirot Oh ternyata SBY tinggal di gunung toh,Yes
214,@msaid_didu @ReflyHZ Polling nya paling yg ngisi para  kadrun....cebong ngga minat wajar aja sih,Yes
215,"@yunartowijaya namanya juga kadrun, bukan kadrun klo gak goblok mas",Yes
216,@ch_chotimah2 @NataliusPigai2 Kadrun ngamuk ??????,Yes
217,@arnoldy1230 @IMCMushroom iya benar. Jangan sekali kali ikut Kadrun. Orangnya tolol tolol semua. Keringatnya bauk bauk.,Yes
218,@BBerizik kadrun dgn smua kedunguannya anti cermin.,Yes
219,@PresidenKopi Kadrun cuma baca judul korupsi nya 2020 kerjasama dengan bukit algoritma 2021 https://t.co/SZCSWRIqag,Yes
220,@arnoldy1230 @IMCMushroom Aku setudju. Kadrun jangan makin bodoh. Kudu bertobat.,Yes
221,@yusuf_dumdum https://t.co/HPv82L3g0D,Yes
222,"@UbedilahB Halah bacot aja lu. Kadrun!

Eh Badrun!",Yes
223,"@Heraloebss Jln masuk k rujab gub mulus,,giliran jln utk rakyat mlh nggak diperhatikan,,gub kadrun kerjaan cm bs abisin anggaran",Yes
224,@IMCMushroom Hore. Aku suka Jokowi. Aku tidak suka kadrun. Benci sekali kadrun2. Keringatnya bauk. Bauk banget.,Yes
225,@keuangannews_id Ganjar turunan kadrun dunk https://t.co/JXWgtWiG2E,Yes
226,@VeelaaRhie Waduh kamu Jangan ikutan berkata kata kotor.  Biar kadrun aja.,Yes
227,"@RagilSemar @joyfanra2 yg jelas msnyengsarakan kadrun
??

twitter.com/tukanggambar28?",Yes
228,@ch_chotimah2 @adityawilly Bagaimanapun kadrun itu tetap to'ol.....maling ketangkap dibilang cobaan...kl nggak ketahuan ya ..maling lagi.,Yes
229,"@TurnBack2Solo @jagokan57083101 @KompasTV gpp mbak kadrun, santai aja yg penting takbir, biar kadrun2 goblok itu takjub dan percaya dgn kebiadaban kadrun krn sdh ada takbirnya wkwkwkw",Yes
230,@cobeh2022 Kebanyakan nelen judul jadi goblok kadrun pemuja yamen?????????? https://t.co/VdlJZfBrpt,Yes
231,@marlina_idha Narasinya kok lebai banget. Indonesia? Seluruh rakyat Indonesia? Wkwkwk kadrun kali yang butuh https://t.co/nKJjXLW0ZF,Yes
232,"@jagokan57083101 @TurnBack2Solo @KompasTV wkwkkw kadrun nyerah, lari terkaing2 seperti anjing yg ditimpukin batu, kaing kaing kaing",Yes
233,@kasrulsani9 @rezaldi12234 @MelayuWarga @ganjarpranowo @jokowi Kristen di bilang kadrun juga ya ?? ????,Yes
234,"Alhamdulillah, sudah bisa aktif lagi setelah vakum selama 2 tahun di twitter. Assalamualaikum dan apa kabar warga oposisi? Semoga baik saja sehat sehat selalu, Aamiin ya rabbal aalamiin...??????",Yes
235,@WManco52 @tawajkt @budimandjatmiko Kadrun Kadrun proyek budimansudjatmiko itu swasta murni disamakan dengan hambalang tolol,Yes
236,@Zulmendra_Ak @KangManto123 Habisin Yaman Kadrun??????,Yes
237,"@KipasAn36639127 @Dennysiregar7 @DivHumas_Polri Saat_nya NGISIIIING TERTAWA...?? 
BALASAN #TELEK_ONTAAA...??

TELEK_ONTA ko #dipercaya...!!
Dasar MENTAL BUDAK BABUVJONGOS ANJING KADRUN SUPER_GOBLOOGG...!! 

PRIBUMI ko TOLOL DUNGU...!!!
????",Yes
238,@Mdy_Asmara1701 https://t.co/O3rKrQ1Jhi,Yes
239,@Obay_Kusut1981 Wkwk kadrun nge hoak,Yes
240,@Mdy_Asmara1701 twitter.com/EndarTo4485746?,Yes
241,"@ocongBoyy Sebelum mencalonkan wan kibul , sebaik nya @NasDem  ngitung dulu ada brp kadrun dongok di republik ini",Yes
242,@Decoel_14 @DrPullmanrogers @Dennysiregar7 @NasDem kadrun gerah wkwkkw,Yes
243,@surabioncomamis @DrPullmanrogers @Dennysiregar7 @NasDem wkwkwk kadrun panas,Yes
244,@aniesbaswedan @PKSejahtera Bimtek kadrun,Yes
245,@kadrun_bangsatt Teman si kristiyan ini??,Yes
246,"@budimandjatmiko Itulah dongok nya kadrun dan Nasdrun..... 
Koar2 tanpa data yg penting bisa menumpahkan kekesalan dan mencari pembelaan dg memcari celah u/ mengalihkan isu utama",Yes
247,@cnbcindonesia Siap2 CNBC dicap kadrun kampret Radikal radikul onta gurun,Yes
248,@Kryan224 Aku dm ya,Yes
249,@dennyindrayana Membahas visi misi yg sama..???,Yes
250,"@fayacondios_ Kadrun gak mingkem, justru nyaring membela koruptor",Yes
251,"@Mdy_Asmara1701 Semua akan gilak pd waktunya.

ttd. buzzer wan jembud",Yes
252,"@MichelAdam9191 Kau tulis hasil  Litbang Kompas..tapi lu sodorin portal abal2.. trus motif lu ape drun ..
Silakan cek @LitbangKompas @KompasTV @kompascom @hariankompas",Yes
253,"@HelmiFelis_ Kadrun tolol, jadi kalau terbukti korupsi jgn ditangkap ya drun, di biarkan bebas sampai ke Yaman. Mirip leluhurmu yg di Yaman, miskin, bodoh dan jahat",Yes
254,@HeangKadrun @UbedilahB Stop omong kadrun. Orang akan mengira anda PKI. Krn cuma PKI yg omong kadrun. Masih banyak pilihan makian lainnya,Yes
255,"@anakwedoesh @rezaldi12234 @MelayuWarga @ganjarpranowo @jokowi Iki kadrun kurang baca,muales cari reprensi,cmn disugukan brita hoax trus,jdi ne pekok kayak gini..????",Yes
256,@msaid_didu @ReflyHZ Vote group kadrun... Ya ialah,Yes
257,@akhmadmuhyidin2 @ganjarpranowo klo pendukung anues yg biadab2 ente diam aja drun? yg penting ada takbirnya ya drun? wwkww kadrun goblok https://t.co/UXfKxXM9w6,Yes
258,@ganjarpranowo Kadrun yg komen disini akunnya baru netas semua... ??,Yes
259,@Mdy_Asmara1701 Panik berat ya ??,Yes
260,"@JhonniSinaga20 @KejaksaanRI Memang Bacotnya @AnisBaswedan itu   manis , dan itu ciri2 gerombolan kadrun selalu bawa2 nama TUHAN",Yes
261,@NataliusPigai2 ini kadrun kapir temannya kadrun betina @jagokan57083101,Yes
262,@aniesbaswedan @PKSejahtera Partai Kadrun Sejati,Yes
263,"Bisa jadi sampai hari kiamat KADRUN-2 pemuja ""Bapak Politik Identitas"" selalu bikin HOAX.

Nyerang Pemerintah pakai HOAX
Puja-puji Bapak Politik Identitas juga pake HOAX

Hidup kok sehina gitu sih DRUN? ?? #TenggelamkanPKS #BubarkanNasdem #NoSayVoteAnies https://t.co/gZ4JVchChN",Yes
264,@DJoker_GinOngs ??,Yes
265,"awoakwoakaoao ketebak org"" si pAliNg toLeraNsi ujung""nya kalau sakit pantat selalu koar"" pake term kodran kadrun, semua dikadrunin ama die dasar kaum ngambekan??",Yes
266,@kadrun_bangsatt T https://t.co/sMSXYdhBb4,Yes
267,"Hayooo loh nomor WA-nya di sebar sama EL... ??

Kadrun nyebar Hoax di group WA.. 

Malam ini banyak yg silaturami ?? https://t.co/qQgYAy70LK",Yes
268,@jayusman92 @Subur0204 Kadrun TOLOL !!!,Yes
269,"Nah ini yg harus dicontoh sama bacapres yg lain etika politik.. 
Gak kyk kadrun.. Asal nyosor aja",Yes
270,"@CocotBoros98 @TurnBack2Solo @KompasTV @jagokan57083101 Ini kadrun laknatuloh, yg lain menyembah balihonya, yg ini malah kencingin, dasar kadrun dongok ?? atau jgn2 abis dikencingin, kadrun2 lsg sujud menyembah di bekas kencingnya? termasuk sekte kadrun p",Yes
271,@Mdy_Asmara1701 https://t.co/9SExGIP0w7,Yes
272,"@gustikajusup @ellenhans65 @Sampeong2 @Miduk17 Masih banyak kadrun tolol ternyata..

????????

Malah nyalahin visi misi Presiden.

Dongok kok diumbar.",Yes
273,"@HensuAja @NasDem @Surya_Paloh Klo sdh di barisan kadrun, mereka auto goblok ya",Yes
274,@abu_waras @NasDem Jd kadrun jgn terlalu goblok...jgn cm hpnya yg pinter...udh goblok mudah dihasut gobloknya gak surut surut,Yes
275,@7609e27c8cc543d @MichelAdam7__ Otak kadrun sungsang karena kadrun munafikuun https://t.co/XC9st83oyC,Yes
276,@joko_maryadi ?? rob itu siklus.. btw mana tau kadrun hal spt itu.. emang disini arab?,Yes
277,"Ada nama baru KADRUN alias KoAlisi Delapan tRiliUN 
?? https://t.co/c1zWAJ2tq9",Yes
278,@Maudy_Kadrun Nickname mba maudy apa mba?,Yes
279,"@Heru1010Heru @Mdy_Asmara1701 islamphobia?? Kadrunphobia kleeee.... ?????? klo kadrunphobia gw percaya..... kadrun ngakunya doang islam klakuan mah iblis, bgni amat idup lu?! #LoL wakakakakakak ???????? https://t.co/AoyBEJMkku",Yes
280,@EdiArif96983478 @PDI_Perjuangan @NasDem @AdianNapitupul1 @ruhutsitompul @adearmando61 @Dennysiregar7 @ch_chotimah2 @FirzaHusainID @newIding30 @OmpungGuru @A_J_Christ @Bram_AbuBakar @Lembayung071 @Yani03495310 COCOK... #BubarkanNasdem  #BubarkanNasdem,Yes
281,@Maudy_Kadrun @ngabkinanea Nickname nya mba maudy apa,Yes
282,Any problem? https://t.co/ZxuT6GjUpm,Yes
283,"@MoTeeTee @PresedentBuzzer @tempodotco Malaysia kadrun
??????????????",Yes
284,"Ormas anti Pancasila dibubarkan, mreka mrah. Penyebar hoax ditangkap, mereka marah. Penyebar fitnah ditangkap, mreka mrah. Penganiaya anak ditangkap, mreka marah. Maling uang umat ditangkap, mreka mrah. Koruptor ditangkap, mereka jg marah. Kadrun ini manusia iblis",Yes
285,"@mustafaagus007 @tempodotco Udah pada NGECAPRAK.
NGATAIN MALAYSIA KADRUN
??????????????",Yes
286,@ganjarpranowo kadrun sangat tidak senang melihat ini ??,Yes
287,"@keirajauw @tempodotco Nah kan.. KADRUN JUGA MALAYSIA
????????????????",Yes
288,@OtakUdangku @ganjarpranowo wkwkkwkw kadrun panasssss,Yes
289,@incognito_grey @ganjarpranowo giniý kalo kebanyakan makan berlemak. kodran kadrun. radikal radikul. gimana mo bersatu kalo pendukung pak ganjar kayak gini.,Yes
290,@SatriadiAdi17 @ganjarpranowo wkwkkww kadrun berandai2,Yes
291,"@Pieter_Sun01 @VeelaaRhie @ST_Burhanuddin @KejaksaanRI Siiiaap..?? sesuai perintah, kang ??",Yes
292,"@ganjarpranowo @akhmadmuhyidin2 wkwkkw ayo pak, bikin kadrun kejang2",Yes
293,@akhmadmuhyidin2 @ganjarpranowo kadrun panasssss wkwkwkw,Yes
294,"@BugBunny1076 wkwkwkw ustad andalan kadrun tuh sugik nur, ye kan kadrun betina @jagokan57083101 ??",Yes
295,"@logikapolitikid @ridwankamil @aniesbaswedan Kadrun mmg racun,byk grup yg diisi dg postingan2 sampah",Yes
296,@AnakLolina2 @DivHumas_Polri apa lagi kadrun ndrun2 awet uunnya,Yes
297,"@KangManto123 #BubarkanNasdem 
#BubarkanNasdem",Yes
298,"@awantimur1 @msaid_didu Bego. Plate itu sekjen NasDem. Petugas partai. Anak buahnya bang Paloh.

Plate diutus bang Paloh buat ngisi kursi menteri Kominfo di kabinetnya pak Jokowi. Ini konsekuensi koalisi.

Ternyata kadrun otaknya nggak nyampe ya.",Yes
299,"@antokvc77 @saifulmujani @saiful_mujani @saidiman @muchlis_ar Betul mas, tp kubu kadrun bukan nya mengambil hati malah menghina warga jateng miskin kok, itu yg bikin gemes dan rakyat hilang respect nya",Yes
300,@Maudy_Kadrun Gassss,Yes
301,@OligarkiBangs4t @ganjarpranowo kadrun panassss wkwkkw,Yes
302,@ojek_ngalong @ganjarpranowo wkwkwk kadrun panasssss,Yes
303,youtube.com/shorts/kk_mb3r?,Yes
304,@yaniarsim @PdiperjuanganP @KPK_RI MAS @budimandjatmiko  Si KADRUN GAK BISA BEDAKAN NIH PROYEK SWASTA SAMA PROYEK NASIONAL PEMERINTAH,Yes
305,@P3n99u94t Rakyat kadrun,Yes
306,"@widarto63285827 @tatakujiyati @bachrum_achmadi @ajengcute16__ @AndiSinulingga @NgkongRoses @_RiuRizkiUtomo @ArnandoFernando @DoankWarto @Abingsanca @AnakTangsiAD @K7_m0en Hidup dah numpang, mau jadi penguasa gratis. Bani kadrun dongok.",Yes
307,@Adi_8002 Manusia naif ni si SP elu pikir maling korup 8T bise ngaku kek elu ngajar anak TK hadeuh manusia macam apa kau ini SP mentang2 punya tv punya segalanya kau bisa ngomong se enak jidat kau saja klu kadrun and Nasdrun boleh lah kau tepuuu macam ini,Yes
308,"@HelmiFelis_ Indonesia lg melesat maju, yg makin mundur kan kadrun goblok ky lo mi ??

Kalo yg namanya terpuruk tuh kayak tanah aer moyang lo n wan jemboet  ini mi 

?????????????????????????? https://t.co/rEPlHF0YyQ",Yes
309,"@rahmaniarbaftim ??????????
PKI : Pasukan Kadrun ...",Yes
310,@Maudy_Kadrun Coba pake mata batin kak maudy??,Yes
311,@StefanAntonio__ Audit juga sewa jet pribadi dan hadiah doorprice di bima,Yes
312,"@msaid_didu @ReflyHZ Ya iya lah orng kadrun semua yg milih, wkwk",Yes
313,"@datuakrajoangek Ya silahkan aja bocorkan, dari jaman capres Prabowo juga bilang bocar bocor faktanya Mentrinya Korupsi juga.. Kadrun Pekok..",Yes
314,@KangManto123 Aku kok ga liat apa2 sih.. Gelaaap,Yes
315,@vi_triasari ????,Yes
316,"@Relawananies Kata siapa..?, Kadrun..?...nggedabruzzz!!!!??????",Yes
317,Hadehh..makin hari makin parah aja ya kadrun..990 santri? Tapi yg bgini @MUIPusat mingkem aja pura2 budek buta gak mau tau..malah ngurusin coldplay,Yes
318,@Maudy_Kadrun Mau dong,Yes
319,"@AndiSinulingga @erickthohir Duh org ini lagi.. udah tidur lah pak... Anda gak perlu bicara banyak..makin banyak anda bicara,semakin byk pula salahnya",Yes
320,@geloraco Kadrun Buduk sekarang jadi tempat berlindung Nasdem dan kalian dimanfaatkan untuk melindungi Sekjen Nasdem yg merampok uang Negara 8 Triliun..,Yes
321,"@_Goentoer_ Kalo sama ini? Mana yg lbh NGIBULNYA?????

twitter.com/cutsarina5/sta?",Yes
322,@firman__nurhuda @agama_nusantara Hrusnya kita itu MALU bukan malah ngatain kadrun..,Yes
323,@PambudiTri @Iwan70703644 @Dennysiregar7 Lebih gentle dibela..drpd disembunyiin??,Yes
324,"@YusraMahendra09 @Tan_Mar3M Kadrun penyembah kotak kubus item memang paling pandai cocoklogi alias ngeles, sing penting cocok. Dasar kadrun penyembah kotak kubus item!",Yes
325,"@yaniarsim @MUIPusat untuk menangkal kadrun busuk sepertimu 
yang merasa paling beragama",Yes
326,@Obay_Kusut1981 Jelas maling msh mau ngelak? kadrun emang idiot,Yes
327,"@Obay_Kusut1981 Begitulah kadrun.. tiap ada pemberitaan hanya dibaca judulnya doang.. dan diartikan sendiri sesuai dgn isi otaknya.. padahal sdh jelas pak Mahfud bilang,klo sdh cukup ada dua bukti kuat maka jgn ditunda status tersangkanya ..dibaca ulang d",Yes
328,"@JoeWongJaVa @PDI_Perjuangan udahlah mas isu lama dinaikin terus wkwk se panik itu kah, btw itu video udah burik coba nonton di channelnya om dedy yang full. biar ga kegiring opini bodoh wkwk kadrun kadrun",Yes
329,"@wah121519_wahyu buzeer anies, kalao g hti, fpi, kadrun ya bandit",Yes
330,@Narasi_winda Dukung kadrun gabung taliban ??,Yes
331,Calon presiden yg digadang gadang bakal perubahan menurut kadrun https://t.co/1KyyO632yW,Yes
332,Asliikk kenpa otak mereka 1500taun mundur.Kadrun cocok gabung sama taliban??,Yes
333,"@HidayatNatari Nyata dan jelas kalo kadrun itu dongok 
?? ??",Yes
334,@kevhunt_13 @firman__nurhuda @agama_nusantara Klo ad nasehat didengarkan jgn ky orng bego malah ngatain kadrun.. Mana ada agama islam ngajarin selama batas wajar gpp.. Bahkan pandanganpun hrus nunduk kebawah.. gk ad yg melarang orang2 mau pacaran tpi sbne,Yes
335,Mendadak jadi Kadrun...??,Yes
336,Idola kadrun,Yes
337,@bluemoon_way @TaufikDamas Ga ada hubunganya drun.. Kadrun,Yes
338,@Aryprasetyo85 Apapun bidang profesi nya.. jika sudah terkontaminasi n terkontolisasi  Ama KADRUN.. pasti auto GOBLOK TOLOL n DUNGU ???????? https://t.co/RSDAwwyG8P,Yes
339,"@UbedilahB Ubaidilah kadrun bela nasdem..?  
Katanya anti korupsi ada yg tersandung korupsi eh di belain mati matian ???????? https://t.co/DOy4quxckN",Yes
340,"@kevhunt_13 @firman__nurhuda @agama_nusantara Km hrus menggaris bawahi.. mereka cuma ngaku2 muslim, kaum bar2 sok suci.. muslim sejati gk menganggap kadrun adlh bagian dari agamanya.. Klo ad yg ngomong agama jgn asal ngecap kadrun..",Yes
341,"@geloraco Halaah habib kadrun si Rijik aja DEDENGKOT CABUL, malah sempat KABUURR lari terCIRIT-CIRIT sampe BERAK-BERAK di jubah minggat selama 4 tahun ngumpetin FELERnya di gurun gegara ngenTHOD memex Firza ??",Yes
342,@Ki_Cebong @KakekHalal Kalau memerintah minta sokong donasi paling depan sana minta donasi pada Si Capres kadrun yg banyak uangnya dari para donasi para Bandar Bohir politik Kongkolemeret hitam korup biar Rakyatnya mendukung Capresnya si Engkong Abas biar,Yes
343,Malu langsung blokir ini kadrun https://t.co/TlJNdugJNj,Yes
344,@Arolumb1102 Begitulah kadrun tukang bo ong,Yes
345,@ch_chotimah2 1 Lagi teroris di tangkap marah juga ?? kadrun titisan siluman kadal ??,Yes
346,@jawapos Pasti perbuatan kadrun,Yes
347,@AndiSinulingga Paham apa kau..udah tidur aja drun,Yes
348,"Kalo aku sampe kiamat juga ogah ikut milih, 
La mbok yg terpilih nanti cebong, kadrun, kadal buduk, monyet, babi, anjing skalipun gak ada ngaruhnya buat aku kok,",Yes
349,@msaid_didu @ReflyHZ gpp jokowi memang selalu klah disarang kadrun hahaha,Yes
350,"@SutanPadoAlam @Uki23 Dari 2014-2019 bahasanya kadrun nggak berubah, "" TUHAN BERPIHAK PADA KEBENARAN""  tapi begitu tuhan berpihak kebenaran itu pada pak Jokowi klen ngamuk, klen benar benar aneh??",Yes
351,@Mdy_Asmara1701 ACARA MURAHAN pake di tawar2in utk ngumpulin massa..biar seolah2 dlm video ntar dibilang pendukung anus membanjiri kedatangangan si anus..padahal dijual murah disosmed..??????,Yes
352,"@YusraMahendra09 @Tan_Mar3M Kalo non kafir gak nyembah kotak kubus item, kadrun bisa ibadah menghadap kmn aja drun penyembah kotak kubus item?",Yes
353,"@Gus_Raharjo Logika kadrun, kawan maka dibilang kriminalisasi, lawan, trgakkan hukum ??",Yes
354,"@YusraMahendra09 @Tan_Mar3M Kadrun penyembah kotak kubus item, tetep aja gak puasa pas tanding kan drun? Mrk ga lagi perjalanan jauh dan gak sakit kan, non kafir penyembah kotak kubus item?",Yes
355,@geloraco dari awal klw punya muka harus nya cabut.....??????,Yes
356,"@HelmiFelis_ Jadi kadrun itu pait idupnye
Seperti kerakap di atas batu
Hidup segan mati tak mau https://t.co/eE7fVprrB3",Yes
357,@geloraco lebih seram lgi yg bkn muhrim nya di raba2...eh ulama nya gk ada tuh yg teriak...drun drun halal haram sikat....,Yes
358,@Maudy_Kadrun Mau dong...pas hari hari ini bangeettt dinginnya????,Yes
359,@YanHarahap @SBYudhoyono @jokowi Bicara gak pke data..hnya nyebarin Berta boong dr sumber media kadrun,Yes
360,@Relawananies Karena dia manusia munafik kadrun yaman,Yes
361,@Naz_lira @ganjarpranowo Partai yang simbolnya Kabah tetapi mendukung orang yang hobinya nonton video porno.. #Mikir,Yes
362,@madmanansang64 @msaid_didu @ReflyHZ Kadrun memang lucu,Yes
363,@HelmiFelis_ Gitu emank pikirannya klu kadrun goblok otak sampah,Yes
364,@OposisiCerdas Kadrun yang HALU. Cebong mah ketawa aja! ??,Yes
365,@Mdy_Asmara1701 Ogah.. gada doorprice nya,Yes
366,@esti_upay @Relawananies Kadrun goblok loe,Yes
367,"@Obay_Kusut1981 Tanya rijik goblok, dia punya banyak koleksi. Pake nanya segala. Tolol main Tweet. https://t.co/LFq3tfaAu8",Yes
368,"@past_ramudeng @P3n99u94t PKI teriak PKI dasar kadrun begok permanen ??
FPI HTI itu pemberontak sama seperti PKI, ngaca lu drun kadrun ??",Yes
369,@Sukardi2017 wkwkk.....kadrun kontraknya ga lama kok.....kasian bidadarinya kelamaan nunggu,Yes
370,"@islah_bahrawi Mantab.
Narasi dg analogi yg mudah diterima akal.
.
Gak tahu kalau akal kadrun, paham pa gak...",Yes
371,@langitan99 Combro apa kentang rebus bang??,Yes
372,@aina_alit Oke istirahat,Yes
373,"@kba_news Kumpulan penjahat yg tidak punya otak.
.
Rakyat indonesia ditololin mereka",Yes
374,@Affan79992133 @ch_chotimah2 ???? Kadrun hanya percaya 72 bidadari di surga,Yes
375,@ubinhasnanto1 @sahaL_AS Takbir https://t.co/nG8GyEOoQM,Yes
376,"@logikapolitikid @ridwankamil @aniesbaswedan Ups sama...
Di group sekolah saya juga beredar hoax begini...

Kebencian dah membuat nalar kadrun ke titik nadir....
Hoax seperti ini sudah menjadi ""santapan rohani"" kaum kadrun ????????",Yes
377,"Kadrun willy kakau anggap pemetintah semena sena, tarik dong mentrinya krlyar dari pemerintah!! Jgn cuma bacot @NasDem @PemudaNasDem @suryapaloh18 ??????",Yes
378,@Miduk17 @Aryprasetyo85 @Metro_TV @ganjarpranowo @dewanpers @03__nakula @adearmando61 @al_lasan @Anak__Ogi @B3doel___ @bung_madin @GunRomli @ch_chotimah2 @DS_yantie @denni_sauya Dulu cenel ini dibenci kadrun sekarang di benci cebong ??,Yes
379,@yaniarsim @MUIPusat Kata ny kudran kadrun sama politik identitas trus jual ayat mayat sama gerobolan yaman dan anti pendatang bahkan ketua knpi anti pak ANIES trus sekarang lagi tempel imam istiqlal hadeeeh,Yes
380,@Mdy_Asmara1701 Yuk merapat ke maling mahoni.,Yes
381,"@Bambangmulyonoo @ReflyHZ Jika RH bilang begitu berarti Ganjar adalah yg terbaik.
.
RH itu otak cober4n",Yes
382,@Maudy_Kadrun boleh ke CBS,Yes
383,@logikapolitikid @ridwankamil @aniesbaswedan Gila biadab dasar Gak pny pendidikan ya ini percuma blng sm Gubernur medsos sm2 KADRUN,Yes
384,@yunartowijaya Namanya juga se kadrun,Yes
385,@logikapolitikid Panik si entit.... Postingan di buang semua.... ????????.... Kadrun dulu pendukung prabowo pindah ke @aniesbaswedan .......,Yes
386,@AgusYudhoyono Ini klo terlalu lama dekat capres.. bisanya hanya bernarasi sebuah gagasan utk merubah ide menjadi sebuah karya agar menghasilkan sebuah kesemakmuran yg dihasilkan dari mengolah ide dan gagasan dalam narasi sehingga gagasan narasi dan ide b,Yes
387,"Padahal ane sering banget direndahkan oleh kadrun.
Artinya ane lebih tinggi dong dari kadrun ?
Alhamdulillah ??????",Yes
388,@yo2k71 @narkosun Kadrun lawan nya kirdun...,Yes
389,@PutriKindy Lha..emang dia kadrun kok,Yes
390,@aniesbaswedan @PKSejahtera Bimtek aleg???Mungkin maksud anda adalah Bimtek Eleg,Yes
391,"@MGhani39013315 @Bambangmulyonoo @aniesbaswedan Kalau bicara hutang ya dr dulu juga  ngutang .
.
Ini mah maling mahoni diusung dgn hutang piutang.
Itu pribadi dan mafia,,bukan urisan duit negara yg buat mmbangun.
.
Tolol",Yes
392,"@_riverheaven Buat kadrun yg namanya prestasi itu :
- Bakar ban dijalan ketika demo
- ngeBOM gereja
- membunuh polisi
- meruntuhkan pagar gedung DPR
- SILAHKAN TAMBAHIN..... https://t.co/2eATMPSO0t",Yes
393,@ch_chotimah2 Sama saja dg yang suka ngatain kadrun tdk sesuai dg pancasila,Yes
394,@detikcom Vincent &gt; Desta,No
395,Vincent&gt;Desta,No
396,"Hai berhubung gw fans berat vincent desta dan semua yang udah terjadi gw masih syok parah, gw akan mute kata2 yg ada desta ya",No
397,"Tiket 200k dapet kaos,totebag,bunga mawar fresh,photocard,oil serum,eskopi (abis diminum pas acara) gak cuma nonton dikta aja,tp ada vincent,desta,dudy,eros.
Puas banget,ga nyesel lah ngeluarin 200rb buat me time.
Terima kasih ya Allah aku senang,tuman nonton konser dewekan. https://t.co/szvbRdmEbq",No
398,"@EIGHT1NY iya si betul tp ak ngeliatnya emang pure bercandaan laki doang, aku liatnya dia family man banget sesayang itu dia sama anak2 nya, kalo ampe beneran slingkuh ak siap nonton pergelutan vincent desta, krna vincent uda segitu terima kasih nya sama caca karna nyelametin desta TAU DEH",No
399,@gomezners bio lo vindes tuh vincent desta…. gua kira artis barat fak,No
400,Kok ada yaa orang ngefans sama Vincent desta,No
401,"definisi konser dikasih banyak bonus, nonton Masta bonus Vincent Desta sama Eross 🥲🥲🥹 https://t.co/qRx6mCFl3G",No
402,"Akhirnya bisa nonton Vincent Desta, di bonus Eross Chandra dan Dikta. https://t.co/R3yIAiZ8rz",No
403,@AlvChrist Bodohnya gua ngira vincent desta itu orang yg sama,No
